Rotor 1 : vbmrotor_1
Iteration, Elapsed Time, Thrust [N], Torque [Nm], Power [W], Roll_Moment [Nm], Pitch_Moment [Nm], X_Force [N], Y_Force [N]
185, 0, 25.24951, -7.227194, 578.1755, 9.858935e-06, -2.802518e-05, 3.058544e-05, 8.222288e-05
186, 0, 25.24951, -7.227194, 578.1755, 8.802139e-06, -2.816815e-05, 2.504355e-05, 8.340077e-05
187, 0, 25.24951, -7.227194, 578.1755, 7.766576e-06, -2.822298e-05, 1.973575e-05, 8.412293e-05
188, 0, 25.24952, -7.227194, 578.1755, 6.799071e-06, -2.82558e-05, 1.492247e-05, 8.461835e-05
189, 0, 25.24951, -7.227194, 578.1755, 5.607866e-06, -2.835952e-05, 8.135392e-06, 8.581876e-05
190, 0, 25.24951, -7.227194, 578.1755, 4.395797e-06, -2.834337e-05, 1.176887e-06, 8.656214e-05
191, 0, 25.24951, -7.227193, 578.1755, 3.281592e-06, -2.829473e-05, -5.193084e-06, 8.714907e-05
192, 0, 25.24951, -7.227194, 578.1755, 2.329806e-06, -2.820557e-05, -1.035455e-05, 8.733279e-05
193, 0, 25.24951, -7.227194, 578.1755, 1.362887e-06, -2.816081e-05, -1.6111e-05, 8.791804e-05
194, 0, 25.24951, -7.227194, 578.1755, 5.280212e-07, -2.802191e-05, -2.082903e-05, 8.792926e-05
195, 0, 25.24952, -7.227194, 578.1755, -1.967616e-07, -2.790127e-05, -2.501766e-05, 8.800725e-05
196, 0, 25.24952, -7.227195, 578.1756, -6.951778e-07, -2.772344e-05, -2.719724e-05, 8.738422e-05
197, 0, 25.24952, -7.227196, 578.1757, -1.049307e-06, -2.760105e-05, -2.840082e-05, 8.681043e-05
198, 0, 25.24952, -7.227196, 578.1757, -1.370244e-06, -2.748566e-05, -2.948104e-05, 8.621555e-05
199, 0, 25.24953, -7.227197, 578.1758, -1.627812e-06, -2.734331e-05, -3.005791e-05, 8.539205e-05
200, 0, 25.24953, -7.227198, 578.1759, -1.799259e-06, -2.725579e-05, -3.013187e-05, 8.477054e-05
201, 0, 25.24954, -7.227199, 578.1759, -1.915637e-06, -2.717748e-05, -2.97346e-05, 8.40641e-05
202, 0, 25.24954, -7.2272, 578.176, -1.995071e-06, -2.713154e-05, -2.919047e-05, 8.350827e-05
203, 0, 25.24954, -7.227201, 578.1761, -2.049051e-06, -2.710403e-05, -2.848302e-05, 8.300438e-05
204, 0, 25.24955, -7.227202, 578.1762, -2.080669e-06, -2.709583e-05, -2.769657e-05, 8.259068e-05
205, 0, 25.24955, -7.227203, 578.1763, -2.091573e-06, -2.709793e-05, -2.683821e-05, 8.221732e-05
206, 0, 25.24955, -7.227204, 578.1764, -2.060424e-06, -2.711079e-05, -2.584086e-05, 8.189383e-05
207, 0, 25.24956, -7.227205, 578.1764, -1.961429e-06, -2.712169e-05, -2.459553e-05, 8.155847e-05
208, 0, 25.24956, -7.227207, 578.1765, -1.845651e-06, -2.715143e-05, -2.338533e-05, 8.133845e-05
209, 0, 25.24957, -7.227208, 578.1766, -1.713337e-06, -2.717814e-05, -2.219484e-05, 8.113046e-05
210, 0, 25.24957, -7.227209, 578.1767, -1.562291e-06, -2.720035e-05, -2.101932e-05, 8.093523e-05
211, 0, 25.24957, -7.22721, 578.1768, -1.371229e-06, -2.720657e-05, -1.96344e-05, 8.06414e-05
212, 0, 25.24958, -7.227211, 578.1768, -1.167875e-06, -2.722173e-05, -1.837948e-05, 8.046968e-05
